ParkID,ParkKey,DisplayName,Amenity,StreetAddr,City,State,ZipCode,Url,Telephone,Latitude,Longitude,NameSearch
4103,1,35th Street,Basketball,814 35th St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/35thstreet/,502-456-8100,38.2471798,-85.8102481,THSTREET
4104,1,35th Street,Playground,814 35th St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/35thstreet/,502-456-8100,38.2471798,-85.8102481,THSTREET
4105,2,A.B. Sawyer,Ballfield,9300 Whipps Mill Rd,Louisville,KY,40242,http://www.louisvilleky.gov/MetroParks/parks/sawyer/,502-456-8100,38.2646132,-85.5804119,ABSAWYER
4106,2,A.B. Sawyer,Football,9300 Whipps Mill Rd,Louisville,KY,40242,http://www.louisvilleky.gov/MetroParks/parks/sawyer/,502-456-8100,38.2646132,-85.5804119,ABSAWYER
4107,2,A.B. Sawyer,Playground,9300 Whipps Mill Rd,Louisville,KY,40242,http://www.louisvilleky.gov/MetroParks/parks/sawyer/,502-456-8100,38.2646132,-85.5804119,ABSAWYER
4108,2,A.B. Sawyer,Restrooms,9300 Whipps Mill Rd,Louisville,KY,40242,http://www.louisvilleky.gov/MetroParks/parks/sawyer/,502-456-8100,38.2646132,-85.5804119,ABSAWYER
4109,2,A.B. Sawyer,Tennis,9300 Whipps Mill Rd,Louisville,KY,40242,http://www.louisvilleky.gov/MetroParks/parks/sawyer/,502-456-8100,38.2646132,-85.5804119,ABSAWYER
4110,3,Algonquin,Ballfield,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4111,3,Algonquin,Basketball,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4112,3,Algonquin,Grill,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4113,3,Algonquin,Multi-purpose Field,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4114,3,Algonquin,Picnic Shelter,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4115,3,Algonquin,Picnic Table,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4116,3,Algonquin,Playground,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4117,3,Algonquin,Restrooms,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4118,3,Algonquin,Running,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4119,3,Algonquin,Sprayground,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4120,3,Algonquin,Swimming,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4121,3,Algonquin,Tennis,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4122,3,Algonquin,Volleyball,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4123,3,Algonquin,Walking,1614 Cypress St,Louisville,KY,40211,http://www.louisvilleky.gov/MetroParks/parks/algonquin/,502-456-8100,38.2279429,-85.8019176,ALGONQUIN
4126,5,Auburndale,Picnic Shelter,7260 Plantside Dr,Louisville,KY,40299,http://www.louisvilleky.gov/MetroParks/parks/auburndale/,502-456-8100,38.1495851,-85.7716845,AUBURNDALE
4127,5,Auburndale,Picnic Table,7260 Plantside Dr,Louisville,KY,40299,http://www.louisvilleky.gov/MetroParks/parks/auburndale/,502-456-8100,38.1495851,-85.7716845,AUBURNDALE
4128,5,Auburndale,Playground,7260 Plantside Dr,Louisville,KY,40299,http://www.louisvilleky.gov/MetroParks/parks/auburndale/,502-456-8100,38.1495851,-85.7716845,AUBURNDALE
4129,5,Auburndale,Tennis,7260 Plantside Dr,Louisville,KY,40299,http://www.louisvilleky.gov/MetroParks/parks/auburndale/,502-456-8100,38.1495851,-85.7716845,AUBURNDALE
4130,6,Ballard,Basketball,525 Caldwell St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/ballard/,502-456-8100,38.2393631,-85.7455814,BALLARD
4131,6,Ballard,Playground,525 Caldwell St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/ballard/,502-456-8100,38.2393631,-85.7455814,BALLARD
4132,7,Baxter Square,Basketball,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4133,7,Baxter Square,Community Center,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4134,7,Baxter Square,Picnic Shelter,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4135,7,Baxter Square,Playground,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4136,7,Baxter Square,Sprayground,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4137,7,Baxter Square,Tennis,301 S 12th St,Louisville,KY,40203,http://www.louisvilleky.gov/MetroParks/parks/baxtersquare/,502-456-8100,38.2545133,-85.7695455,BAXTERSQUARE
4138,8,Beargrass Creek Greenway at Irish Hill,Path,1917 Lexington Rd,Louisville,KY,40204,http://www.louisvilleky.gov/MetroParks/parks/beargrasscreekgreenway/,502-456-8100,38.2482809,-85.7076478,BEARGRASSCREEKGREENWAYATIRISHHILL
4139,8,Beargrass Creek Greenway at Irish Hill,Running,1917 Lexington Rd,Louisville,KY,40204,http://www.louisvilleky.gov/MetroParks/parks/beargrasscreekgreenway/,502-456-8100,38.2482809,-85.7076478,BEARGRASSCREEKGREENWAYATIRISHHILL
4140,8,Beargrass Creek Greenway at Irish Hill,Hiking Trail,1917 Lexington Rd,Louisville,KY,40204,http://www.louisvilleky.gov/MetroParks/parks/beargrasscreekgreenway/,502-456-8100,38.2482809,-85.7076478,BEARGRASSCREEKGREENWAYATIRISHHILL
